Years,Oceania,Africa,Europe,Americas,Asia
1961,14.91,4.57,13.91,8.94,1.86
1962,14.03,4.63,14.42,9.36,1.93
1963,11.77,4.96,15.28,9.29,2.07
1964,14.43,5.37,16.08,9.18,2.47
1965,14.6,5.34,16.98,9,2.5
1966,16.11,5.61,16.87,9.41,2.48
1967,15.44,5.71,17.61,9.22,2.41
1968,14.78,5.36,18.03,9.95,2.59
1969,14.2,5.5,18.33,9.44,2.66
1970,14.44,6.11,19.27,10.13,2.81
1971,15.92,6.63,18.5,10.06,2.87
1972,13.69,6.88,19.6,10.92,2.47
1973,15.03,6.9,19.93,11.36,2.87
1974,17.01,7.02,20.53,10.64,3.3
1975,15.07,7.42,20.53,10.27,3.23
1976,14.93,7.82,20.03,10.56,3.07
1977,15.9,8,19.14,10.68,3.22
1978,15.84,8.28,19.11,11.57,3.09
1979,14.78,8.24,19.13,12,3.03
1980,16.05,8.11,19.56,11.81,3.1
1981,17.26,8.88,20.26,12.54,3.02
1982,18.56,9.03,20.31,11.79,2.89
1983,16.91,8.2,20.48,11.68,3.02
1984,18.64,7.85,21.23,12.56,3.28
1985,18.79,7.49,22.07,12.54,3.22
1986,18.7,7.76,22.54,12.94,3.19
1987,20.33,8.38,22.38,13.83,3.15
1988,19.76,8.39,22.12,13.15,3.35
1989,20.69,8.48,21.85,14.13,3.67
1990,21.78,8.83,21.08,14.01,3.75
1991,21.59,7.75,19.79,13.03,3.87
1992,22.18,7.68,17.84,13.25,3.97
1993,21.27,7.46,16.69,13.88,4.08
1994,21.7,6.92,16.64,13.82,4.21
1995,21.42,7.33,18.27,13.91,4.2
1996,21.82,7.51,19.13,13.89,4.51
1997,22.71,7.75,19.52,13.85,4.58
1998,22.64,7.78,20.41,13.66,4.56
1999,22.8,8.04,19.16,13.4,4.68
2000,23.06,7.87,19.08,13.52,4.47
2001,23.51,8.34,20.02,13.66,4.82
2002,24.5,7.95,19.51,13.81,4.69
2003,26.04,8.31,19.72,14.3,4.76
2004,28.35,8.96,19.71,14.65,4.8
2005,26.69,9.12,20.67,14.07,5.06
2006,26.39,9.84,21.28,14.68,5.23
2007,27.26,10.37,22.23,14.33,5.17
2008,27.19,10.13,22.3,14.07,5.99
2009,26.22,9.93,22.01,14.02,5.59
2010,27.46,10.44,21.77,14.05,5.72
2011,26.89,11.02,21.84,14.16,5.17
2012,26.72,10.95,21.69,14.17,5.1
2013,26.87,10.77,21.85,14.2,5.04