Country ,Source,Value,,,,,,,,,,,
United States,Plant Protein,39.86,,,,,,,,,,,
China,Plant Protein,60.92,,,,,,,,,,,
Russia,Plant Protein,46.06,,,,,,,,,,,
Greece,Plant Protein,48.44,,,,,,,,,,,
India,Plant Protein,50.62,,,,,,,,,,,
Brazil,Plant Protein,38.06,,,,,,,,,,,
United Arab Emirates,Plant Protein,63.51,,,,,,,,,,,
Australia,Plant Protein,36.8,,,,,,,,,,,
United Kingdom,Plant Protein,45.56,,,,,,,,,,,
Italy,Plant Protein,49.71,,,,,,,,,,,
United States,Meat,41.14,,,,,,,,,,,
China,Meat,19.46,,,,,,,,,,,
Russia,Meat,25.67,,,,,,,,,,,
Greece,Meat,23.05,,,,,,,,,,,
India,Meat,1.33,,,,,,,,,,,
Brazil,Meat,34.07,,,,,,,,,,,
United Arab Emirates,Meat,22.2,,,,,,,,,,,
Australia,Meat,40.71,,,,,,,,,,,
United Kingdom,Meat,30.33,,,,,,,,,,,
Italy,Meat,26.75,,,,,,,,,,,
United States,Eggs,4.56,,,,,,,,,,,
China,Eggs,7.13,,,,,,,,,,,
Russia,Eggs,4.7,,,,,,,,,,,
Greece,Eggs,2.68,,,,,,,,,,,
India,Eggs,0.95,,,,,,,,,,,
Brazil,Eggs,2.15,,,,,,,,,,,
United Arab Emirates,Eggs,2.21,,,,,,,,,,,
Australia,Eggs,2.36,,,,,,,,,,,
United Kingdom,Eggs,3.48,,,,,,,,,,,
Italy,Eggs,3.67,,,,,,,,,,,
United States,Dairy,22.47,,,,,,,,,,,
China,Dairy,2.72,,,,,,,,,,,
Russia,Dairy,16.63,,,,,,,,,,,
Greece,Dairy,23.29,,,,,,,,,,,
India,Dairy,10.21,,,,,,,,,,,
Brazil,Dairy,12.73,,,,,,,,,,,
United Arab Emirates,Dairy,11.77,,,,,,,,,,,
Australia,Dairy,18.23,,,,,,,,,,,
United Kingdom,Dairy,18.39,,,,,,,,,,,
Italy,Dairy,17.12,,,,,,,,,,,
United States,Fish and Seafood,5.43,,,,,,,,,,,
China,Fish and Seafood,9.07,,,,,,,,,,,
Russia,Fish and Seafood,6.62,,,,,,,,,,,
Greece,Fish and Seafood,5.68,,,,,,,,,,,
India,Fish and Seafood,2.03,,,,,,,,,,,
Brazil,Fish and Seafood,2.46,,,,,,,,,,,
United Arab Emirates,Fish and Seafood,6.34,,,,,,,,,,,
Australia,Fish and Seafood,6.18,,,,,,,,,,,
United Kingdom,Fish and Seafood,5.24,,,,,,,,,,,
Italy,Fish and Seafood,8.06,,,,,,,,,,,
Sri Lanka,Plant Protein,45.64,,,,,,,,,,,
Sri Lanka,Meat,3.13,,,,,,,,,,,
Sri Lanka,Eggs,1.31,,,,,,,,,,,
Sri Lanka,Dairy,4.13,,,,,,,,,,,
Sri Lanka,Fish and Seafood,9.65,,,,,,,,,,,
South Africa,Plant Protein,48.85,,,,,,,,,,,
South Africa,Meat,23.21,,,,,,,,,,,
South Africa,Eggs,2.07,,,,,,,,,,,
South Africa,Dairy,4.94,,,,,,,,,,,
South Africa,Fish and Seafood,1.62,,,,,,,,,,,