Gender,Date,Furloughed Employments
Female,"Wednesday, July 1, 2020",2907700
Female,"Thursday, July 2, 2020",2908100
Female,"Friday, July 3, 2020",2904600
Female,"Saturday, July 4, 2020",2894200
Female,"Sunday, July 5, 2020",2888500
Female,"Monday, July 6, 2020",2881300
Female,"Tuesday, July 7, 2020",2876100
Female,"Wednesday, July 8, 2020",2863200
Female,"Thursday, July 9, 2020",2858500
Female,"Friday, July 10, 2020",2854000
Female,"Saturday, July 11, 2020",2844500
Female,"Sunday, July 12, 2020",2837100
Female,"Monday, July 13, 2020",2813000
Female,"Tuesday, July 14, 2020",2807700
Female,"Wednesday, July 15, 2020",2801600
Female,"Thursday, July 16, 2020",2794800
Female,"Friday, July 17, 2020",2790900
Female,"Saturday, July 18, 2020",2778900
Female,"Sunday, July 19, 2020",2769000
Female,"Monday, July 20, 2020",2745500
Female,"Tuesday, July 21, 2020",2735900
Female,"Wednesday, July 22, 2020",2730100
Female,"Thursday, July 23, 2020",2724900
Female,"Friday, July 24, 2020",2715800
Female,"Saturday, July 25, 2020",2699600
Female,"Sunday, July 26, 2020",2681200
Female,"Monday, July 27, 2020",2647500
Female,"Tuesday, July 28, 2020",2638700
Female,"Wednesday, July 29, 2020",2627600
Female,"Thursday, July 30, 2020",2621300
Female,"Friday, July 31, 2020",2599300
Female,"Saturday, August 1, 2020",2131900
Female,"Sunday, August 2, 2020",2132100
Female,"Monday, August 3, 2020",2131000
Female,"Tuesday, August 4, 2020",2127700
Female,"Wednesday, August 5, 2020",2126300
Female,"Thursday, August 6, 2020",2125300
Female,"Friday, August 7, 2020",2124600
Female,"Saturday, August 8, 2020",2119400
Female,"Sunday, August 9, 2020",2116800
Female,"Monday, August 10, 2020",2106000
Female,"Tuesday, August 11, 2020",2103000
Female,"Wednesday, August 12, 2020",2101700
Female,"Thursday, August 13, 2020",2100300
Female,"Friday, August 14, 2020",2098100
Female,"Saturday, August 15, 2020",2091100
Female,"Sunday, August 16, 2020",2085000
Female,"Monday, August 17, 2020",2072600
Female,"Tuesday, August 18, 2020",2069500
Female,"Wednesday, August 19, 2020",2067900
Female,"Thursday, August 20, 2020",2065900
Female,"Friday, August 21, 2020",2059900
Female,"Saturday, August 22, 2020",2053200
Female,"Sunday, August 23, 2020",2047400
Female,"Monday, August 24, 2020",2035200
Female,"Tuesday, August 25, 2020",2031100
Female,"Wednesday, August 26, 2020",2026000
Female,"Thursday, August 27, 2020",2022700
Female,"Friday, August 28, 2020",2017900
Female,"Saturday, August 29, 2020",1981800
Female,"Sunday, August 30, 2020",1970800
Female,"Monday, August 31, 2020",1920900
Female,"Tuesday, September 1, 2020",1517300
Female,"Wednesday, September 2, 2020",1517300
Female,"Thursday, September 3, 2020",1515700
Female,"Friday, September 4, 2020",1514400
Female,"Saturday, September 5, 2020",1512300
Female,"Sunday, September 6, 2020",1509400
Female,"Monday, September 7, 2020",1501700
Female,"Tuesday, September 8, 2020",1498000
Female,"Wednesday, September 9, 2020",1497000
Female,"Thursday, September 10, 2020",1495700
Female,"Friday, September 11, 2020",1494100
Female,"Saturday, September 12, 2020",1491300
Female,"Sunday, September 13, 2020",1490100
Female,"Monday, September 14, 2020",1478700
Female,"Tuesday, September 15, 2020",1475800
Female,"Wednesday, September 16, 2020",1474200
Female,"Thursday, September 17, 2020",1473100
Female,"Friday, September 18, 2020",1470100
Female,"Saturday, September 19, 2020",1466800
Female,"Sunday, September 20, 2020",1465200
Female,"Monday, September 21, 2020",1460500
Female,"Tuesday, September 22, 2020",1458400
Female,"Wednesday, September 23, 2020",1457200
Female,"Thursday, September 24, 2020",1455500
Female,"Friday, September 25, 2020",1453200
Female,"Saturday, September 26, 2020",1441200
Female,"Sunday, September 27, 2020",1436300
Female,"Monday, September 28, 2020",1428100
Female,"Tuesday, September 29, 2020",1421500
Female,"Wednesday, September 30, 2020",1418000
Female,"Thursday, October 1, 2020",1275200
Female,"Friday, October 2, 2020",1275500
Female,"Saturday, October 3, 2020",1275000
Female,"Sunday, October 4, 2020",1274500
Female,"Monday, October 5, 2020",1279100
Female,"Tuesday, October 6, 2020",1278100
Female,"Wednesday, October 7, 2020",1277800
Female,"Thursday, October 8, 2020",1277800
Female,"Friday, October 9, 2020",1277600
Female,"Saturday, October 10, 2020",1277900
Female,"Sunday, October 11, 2020",1277100
Female,"Monday, October 12, 2020",1275500
Female,"Tuesday, October 13, 2020",1274600
Female,"Wednesday, October 14, 2020",1274300
Female,"Thursday, October 15, 2020",1273300
Female,"Friday, October 16, 2020",1269700
Female,"Saturday, October 17, 2020",1268300
Female,"Sunday, October 18, 2020",1267400
Female,"Monday, October 19, 2020",1267800
Female,"Tuesday, October 20, 2020",1266100
Female,"Wednesday, October 21, 2020",1264600
Female,"Thursday, October 22, 2020",1263300
Female,"Friday, October 23, 2020",1262700
Female,"Saturday, October 24, 2020",1261600
Female,"Sunday, October 25, 2020",1259700
Female,"Monday, October 26, 2020",1238400
Female,"Tuesday, October 27, 2020",1236400
Female,"Wednesday, October 28, 2020",1235200
Female,"Thursday, October 29, 2020",1230600
Female,"Friday, October 30, 2020",1227200
Female,"Saturday, October 31, 2020",1188300
Female,"Sunday, November 1, 2020",1819100
Female,"Monday, November 2, 2020",1835100
Female,"Tuesday, November 3, 2020",1837600
Female,"Wednesday, November 4, 2020",1844200
Female,"Thursday, November 5, 2020",2006600
Female,"Friday, November 6, 2020",2023400
Female,"Saturday, November 7, 2020",2031900
Female,"Sunday, November 8, 2020",2044600
Female,"Monday, November 9, 2020",2061600
Female,"Tuesday, November 10, 2020",2061300
Female,"Wednesday, November 11, 2020",2063100
Female,"Thursday, November 12, 2020",2062400
Female,"Friday, November 13, 2020",2059200
Female,"Saturday, November 14, 2020",2058500
Female,"Sunday, November 15, 2020",2058600
Female,"Monday, November 16, 2020",2054500
Female,"Tuesday, November 17, 2020",2053100
Female,"Wednesday, November 18, 2020",2052700
Female,"Thursday, November 19, 2020",2052300
Female,"Friday, November 20, 2020",2052100
Female,"Saturday, November 21, 2020",2051300
Female,"Sunday, November 22, 2020",2049100
Female,"Monday, November 23, 2020",2044200
Female,"Tuesday, November 24, 2020",2041900
Female,"Wednesday, November 25, 2020",2039000
Female,"Thursday, November 26, 2020",2033600
Female,"Friday, November 27, 2020",2031200
Female,"Saturday, November 28, 2020",2010300
Female,"Sunday, November 29, 2020",1985800
Female,"Monday, November 30, 2020",1920200
Female,"Tuesday, December 1, 2020",1902700
Female,"Wednesday, December 2, 2020",1901100
Female,"Thursday, December 3, 2020",1894100
Female,"Friday, December 4, 2020",1891600
Female,"Saturday, December 5, 2020",1890800
Female,"Sunday, December 6, 2020",1888700
Female,"Monday, December 7, 2020",1882900
Female,"Tuesday, December 8, 2020",1879500
Female,"Wednesday, December 9, 2020",1878000
Female,"Thursday, December 10, 2020",1877200
Female,"Friday, December 11, 2020",1875400
Female,"Saturday, December 12, 2020",1874600
Female,"Sunday, December 13, 2020",1870700
Female,"Monday, December 14, 2020",1872900
Female,"Tuesday, December 15, 2020",1871800
Female,"Wednesday, December 16, 2020",1873500
Female,"Thursday, December 17, 2020",1874300
Female,"Friday, December 18, 2020",1874900
Female,"Saturday, December 19, 2020",1879700
Female,"Sunday, December 20, 2020",1896300
Female,"Monday, December 21, 2020",1913300
Female,"Tuesday, December 22, 2020",1916400
Female,"Wednesday, December 23, 2020",1918200
Female,"Thursday, December 24, 2020",1918500
Female,"Friday, December 25, 2020",1925700
Female,"Saturday, December 26, 2020",1923700
Female,"Sunday, December 27, 2020",1923000
Female,"Monday, December 28, 2020",1917200
Female,"Tuesday, December 29, 2020",1906500
Female,"Wednesday, December 30, 2020",1900600
Female,"Thursday, December 31, 2020",1883500
Male,"Wednesday, July 1, 2020",2723600
Male,"Thursday, July 2, 2020",2724100
Male,"Friday, July 3, 2020",2721500
Male,"Saturday, July 4, 2020",2714800
Male,"Sunday, July 5, 2020",2711000
Male,"Monday, July 6, 2020",2703400
Male,"Tuesday, July 7, 2020",2698500
Male,"Wednesday, July 8, 2020",2688500
Male,"Thursday, July 9, 2020",2685600
Male,"Friday, July 10, 2020",2683000
Male,"Saturday, July 11, 2020",2674300
Male,"Sunday, July 12, 2020",2671100
Male,"Monday, July 13, 2020",2648600
Male,"Tuesday, July 14, 2020",2644000
Male,"Wednesday, July 15, 2020",2638300
Male,"Thursday, July 16, 2020",2631500
Male,"Friday, July 17, 2020",2627900
Male,"Saturday, July 18, 2020",2615300
Male,"Sunday, July 19, 2020",2610000
Male,"Monday, July 20, 2020",2590500
Male,"Tuesday, July 21, 2020",2582100
Male,"Wednesday, July 22, 2020",2577800
Male,"Thursday, July 23, 2020",2573100
Male,"Friday, July 24, 2020",2565100
Male,"Saturday, July 25, 2020",2550800
Male,"Sunday, July 26, 2020",2537400
Male,"Monday, July 27, 2020",2507600
Male,"Tuesday, July 28, 2020",2500800
Male,"Wednesday, July 29, 2020",2491800
Male,"Thursday, July 30, 2020",2486200
Male,"Friday, July 31, 2020",2463900
Male,"Saturday, August 1, 2020",1934300
Male,"Sunday, August 2, 2020",1933900
Male,"Monday, August 3, 2020",1928500
Male,"Tuesday, August 4, 2020",1925600
Male,"Wednesday, August 5, 2020",1924700
Male,"Thursday, August 6, 2020",1923900
Male,"Friday, August 7, 2020",1923300
Male,"Saturday, August 8, 2020",1916400
Male,"Sunday, August 9, 2020",1913000
Male,"Monday, August 10, 2020",1899600
Male,"Tuesday, August 11, 2020",1897000
Male,"Wednesday, August 12, 2020",1896100
Male,"Thursday, August 13, 2020",1894800
Male,"Friday, August 14, 2020",1893200
Male,"Saturday, August 15, 2020",1886200
Male,"Sunday, August 16, 2020",1882000
Male,"Monday, August 17, 2020",1871800
Male,"Tuesday, August 18, 2020",1869200
Male,"Wednesday, August 19, 2020",1867800
Male,"Thursday, August 20, 2020",1866200
Male,"Friday, August 21, 2020",1860600
Male,"Saturday, August 22, 2020",1854000
Male,"Sunday, August 23, 2020",1850900
Male,"Monday, August 24, 2020",1838300
Male,"Tuesday, August 25, 2020",1834800
Male,"Wednesday, August 26, 2020",1831000
Male,"Thursday, August 27, 2020",1828600
Male,"Friday, August 28, 2020",1824200
Male,"Saturday, August 29, 2020",1791600
Male,"Sunday, August 30, 2020",1783300
Male,"Monday, August 31, 2020",1742100
Male,"Tuesday, September 1, 2020",1423900
Male,"Wednesday, September 2, 2020",1424000
Male,"Thursday, September 3, 2020",1423400
Male,"Friday, September 4, 2020",1423100
Male,"Saturday, September 5, 2020",1421500
Male,"Sunday, September 6, 2020",1420000
Male,"Monday, September 7, 2020",1416500
Male,"Tuesday, September 8, 2020",1414200
Male,"Wednesday, September 9, 2020",1413400
Male,"Thursday, September 10, 2020",1412500
Male,"Friday, September 11, 2020",1411300
Male,"Saturday, September 12, 2020",1408900
Male,"Sunday, September 13, 2020",1407500
Male,"Monday, September 14, 2020",1398700
Male,"Tuesday, September 15, 2020",1396300
Male,"Wednesday, September 16, 2020",1395100
Male,"Thursday, September 17, 2020",1394300
Male,"Friday, September 18, 2020",1391500
Male,"Saturday, September 19, 2020",1388400
Male,"Sunday, September 20, 2020",1387200
Male,"Monday, September 21, 2020",1384100
Male,"Tuesday, September 22, 2020",1382500
Male,"Wednesday, September 23, 2020",1381500
Male,"Thursday, September 24, 2020",1380300
Male,"Friday, September 25, 2020",1378000
Male,"Saturday, September 26, 2020",1367300
Male,"Sunday, September 27, 2020",1364600
Male,"Monday, September 28, 2020",1356600
Male,"Tuesday, September 29, 2020",1350100
Male,"Wednesday, September 30, 2020",1346800
Male,"Thursday, October 1, 2020",1218300
Male,"Friday, October 2, 2020",1218700
Male,"Saturday, October 3, 2020",1218000
Male,"Sunday, October 4, 2020",1217900
Male,"Monday, October 5, 2020",1221500
Male,"Tuesday, October 6, 2020",1220900
Male,"Wednesday, October 7, 2020",1220700
Male,"Thursday, October 8, 2020",1220900
Male,"Friday, October 9, 2020",1220600
Male,"Saturday, October 10, 2020",1220100
Male,"Sunday, October 11, 2020",1220100
Male,"Monday, October 12, 2020",1218900
Male,"Tuesday, October 13, 2020",1218200
Male,"Wednesday, October 14, 2020",1218000
Male,"Thursday, October 15, 2020",1217100
Male,"Friday, October 16, 2020",1213400
Male,"Saturday, October 17, 2020",1212800
Male,"Sunday, October 18, 2020",1212300
Male,"Monday, October 19, 2020",1213300
Male,"Tuesday, October 20, 2020",1212500
Male,"Wednesday, October 21, 2020",1211300
Male,"Thursday, October 22, 2020",1210100
Male,"Friday, October 23, 2020",1209300
Male,"Saturday, October 24, 2020",1207400
Male,"Sunday, October 25, 2020",1206700
Male,"Monday, October 26, 2020",1187500
Male,"Tuesday, October 27, 2020",1185500
Male,"Wednesday, October 28, 2020",1184400
Male,"Thursday, October 29, 2020",1181300
Male,"Friday, October 30, 2020",1177900
Male,"Saturday, October 31, 2020",1136400
Male,"Sunday, November 1, 2020",1746200
Male,"Monday, November 2, 2020",1761900
Male,"Tuesday, November 3, 2020",1764000
Male,"Wednesday, November 4, 2020",1769000
Male,"Thursday, November 5, 2020",1857600
Male,"Friday, November 6, 2020",1871000
Male,"Saturday, November 7, 2020",1876200
Male,"Sunday, November 8, 2020",1883900
Male,"Monday, November 9, 2020",1904500
Male,"Tuesday, November 10, 2020",1904800
Male,"Wednesday, November 11, 2020",1906000
Male,"Thursday, November 12, 2020",1906300
Male,"Friday, November 13, 2020",1904300
Male,"Saturday, November 14, 2020",1904000
Male,"Sunday, November 15, 2020",1904300
Male,"Monday, November 16, 2020",1903400
Male,"Tuesday, November 17, 2020",1902900
Male,"Wednesday, November 18, 2020",1902600
Male,"Thursday, November 19, 2020",1902500
Male,"Friday, November 20, 2020",1902800
Male,"Saturday, November 21, 2020",1901200
Male,"Sunday, November 22, 2020",1898900
Male,"Monday, November 23, 2020",1894600
Male,"Tuesday, November 24, 2020",1892500
Male,"Wednesday, November 25, 2020",1890500
Male,"Thursday, November 26, 2020",1886200
Male,"Friday, November 27, 2020",1883300
Male,"Saturday, November 28, 2020",1863000
Male,"Sunday, November 29, 2020",1847700
Male,"Monday, November 30, 2020",1793300
Male,"Tuesday, December 1, 2020",1868800
Male,"Wednesday, December 2, 2020",1868300
Male,"Thursday, December 3, 2020",1864000
Male,"Friday, December 4, 2020",1863200
Male,"Saturday, December 5, 2020",1862400
Male,"Sunday, December 6, 2020",1861600
Male,"Monday, December 7, 2020",1858200
Male,"Tuesday, December 8, 2020",1856400
Male,"Wednesday, December 9, 2020",1855900
Male,"Thursday, December 10, 2020",1855300
Male,"Friday, December 11, 2020",1854100
Male,"Saturday, December 12, 2020",1853500
Male,"Sunday, December 13, 2020",1850500
Male,"Monday, December 14, 2020",1853200
Male,"Tuesday, December 15, 2020",1852200
Male,"Wednesday, December 16, 2020",1853700
Male,"Thursday, December 17, 2020",1855500
Male,"Friday, December 18, 2020",1856200
Male,"Saturday, December 19, 2020",1860700
Male,"Sunday, December 20, 2020",1871500
Male,"Monday, December 21, 2020",1884500
Male,"Tuesday, December 22, 2020",1887100
Male,"Wednesday, December 23, 2020",1888500
Male,"Thursday, December 24, 2020",1889100
Male,"Friday, December 25, 2020",1889900
Male,"Saturday, December 26, 2020",1886400
Male,"Sunday, December 27, 2020",1886300
Male,"Monday, December 28, 2020",1881100
Male,"Tuesday, December 29, 2020",1871500
Male,"Wednesday, December 30, 2020",1865600
Male,"Thursday, December 31, 2020",1847600